event_id,game_id,date,matchup,actual_wl,protagonist_seconds,protagonist_minutes,protagonist_start,protagonist_start_source,lamelo_seconds,lamelo_minutes,lamelo_start,lamelo_start_source,actual_team_seconds,alternate_team_seconds,real_player_debit_seconds,real_player_credit_seconds,bridge_note
CHI_2020_21_G001,0022000015,2020-12-23,CHI vs. ATL,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G002,0022000026,2020-12-26,CHI vs. IND,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G003,0022000038,2020-12-27,CHI vs. GSW,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G004,0022000050,2020-12-29,CHI @ WAS,W,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G005,0022000063,2020-12-31,CHI @ WAS,W,1620,27:00,1,Patrick Williams,1500,25:00,0,,14401,14401,3158,38,young_net_zero_credit
CHI_2020_21_G006,0022000073,2021-01-01,CHI @ MIL,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G007,0022000090,2021-01-03,CHI vs. DAL,W,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G008,0022000106,2021-01-05,CHI @ POR,W,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G009,0022000117,2021-01-06,CHI @ SAC,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G010,0022000131,2021-01-08,CHI @ LAL,L,1620,27:00,1,Patrick Williams,1500,25:00,0,,14400,14400,3120,0,donor_only
CHI_2020_21_G011,0022000142,2021-01-10,CHI @ LAC,L,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G012,0022000184,2021-01-15,CHI @ OKC,L,1680,28:00,1,Patrick Williams,1620,27:00,0,,15900,15900,3300,0,donor_only
CHI_2020_21_G013,0022000198,2021-01-17,CHI @ DAL,W,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G014,0022000211,2021-01-18,CHI vs. HOU,W,1680,28:00,1,Garrett Temple,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G015,0022000229,2021-01-22,CHI @ CHA,W,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G016,0022000245,2021-01-23,CHI vs. LAL,L,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G017,0022000262,2021-01-25,CHI vs. BOS,L,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G018,0022000298,2021-01-30,CHI vs. POR,L,1680,28:00,1,Patrick Williams,1620,27:00,0,,14400,14400,3300,0,donor_only
CHI_2020_21_G019,0022000315,2021-02-01,CHI vs. NYK,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G020,0022000332,2021-02-03,CHI vs. NYK,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G021,0022000344,2021-02-05,CHI @ ORL,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G022,0022000353,2021-02-06,CHI @ ORL,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
