event_id,game_id,date,team,player,seconds,start,comment,pts,reb,ast,stl,blk,tov,pf,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,official_url
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Al-Farouq Aminu,738,0,,2,5,0,0,0,2,2,0,1,0,1,2,2,10,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Coby White,1535,0,,13,5,4,1,1,1,4,5,12,2,5,1,1,6,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Cristiano Felicio,106,0,,1,0,0,0,0,0,0,0,0,0,0,1,2,0,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Denzel Valentine,348,0,,2,2,0,0,0,0,1,1,5,0,2,0,0,-9,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Devon Dotson,106,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Garrett Temple,1347,0,,4,3,4,1,0,0,2,2,5,0,3,0,0,-8,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Javonte Green,628,0,,0,4,0,1,2,2,2,0,2,0,1,0,0,5,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Lauri Markkanen,1566,1,,10,3,0,0,0,1,2,4,10,1,6,1,1,-21,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Nikola Vucevic,1906,1,,21,9,3,0,0,0,4,9,16,2,4,1,1,-24,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Patrick Williams,1143,1,,6,3,1,0,0,2,0,3,7,0,2,0,0,-23,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Ryan Arcidiacono,106,0,,1,0,0,0,0,0,0,0,0,0,0,1,2,0,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Thaddeus Young,1338,0,,10,6,9,0,0,2,3,5,11,0,1,0,1,3,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Tomas Satoransky,1035,1,,8,3,3,2,0,2,3,3,7,1,3,1,1,-14,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Troy Brown Jr.,813,0,,8,1,3,0,0,0,2,3,4,1,1,1,1,12,https://www.nba.com/game/0022000697/box-score
CHI_2020_21_G044,0022000697,2021-03-27,CHI,Zach LaVine,1685,1,,18,3,1,0,0,2,0,6,15,1,5,5,6,-17,https://www.nba.com/game/0022000697/box-score
