game_id,date,matchup,player,actual_seconds,actual_start,points,plus_minus,comment,source_url
0022000697,2021-03-27,CHI @ SAS,Al-Farouq Aminu,738,0,2,10,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Coby White,1535,0,13,6,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Cristiano Felicio,106,0,1,0,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Denzel Valentine,348,0,2,-9,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Devon Dotson,106,0,0,0,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Garrett Temple,1347,0,4,-8,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Javonte Green,628,0,0,5,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Lauri Markkanen,1566,1,10,-21,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Nikola Vucevic,1906,1,21,-24,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Patrick Williams,1143,1,6,-23,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Ryan Arcidiacono,106,0,1,0,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Thaddeus Young,1338,0,10,3,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Tomas Satoransky,1035,1,8,-14,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Troy Brown Jr.,813,0,8,12,,https://www.nba.com/game/0022000697/box-score
0022000697,2021-03-27,CHI @ SAS,Zach LaVine,1685,1,18,-17,,https://www.nba.com/game/0022000697/box-score
0022000716,2021-03-29,CHI @ GSW,Al-Farouq Aminu,0,0,0,0,DNP - Coach's Decision,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Cristiano Felicio,101,0,0,2,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Daniel Theis,1328,0,6,-15,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Denzel Valentine,0,0,0,0,DNP - Coach's Decision,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Devon Dotson,198,0,0,0,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Garrett Temple,129,0,0,3,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Javonte Green,755,0,2,-11,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Lauri Markkanen,1330,0,13,-5,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Nikola Vucevic,1593,1,21,-3,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Patrick Williams,1960,1,14,-3,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Ryan Arcidiacono,887,0,5,-6,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Thaddeus Young,1412,1,10,-7,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Tomas Satoransky,1802,1,14,-8,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Troy Brown Jr.,1010,0,5,-5,,https://www.nba.com/game/0022000716/box-score
0022000716,2021-03-29,CHI @ GSW,Zach LaVine,1895,1,12,-12,,https://www.nba.com/game/0022000716/box-score
